Hugo_Symbol	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
NFKBIA	2	2	0	0	0	4	4	4
TTN	4	0	0	0	0	4	4	4
VWDE	3	1	0	0	0	4	4	4
OSBPL10	11	1	0	0	0	12	3	3
IGLV4-69	11	0	0	0	0	11	3	3
IGHG4	8	0	0	1	0	9	3	3
IGKV3-20	6	0	0	0	0	6	3	3
KLF2	4	0	1	1	0	6	3	3
ACTB	4	0	0	1	0	5	3	3
ATP10B	5	0	0	0	0	5	3	3
IGHA1	5	0	0	0	0	5	3	3
IGLV3-25	5	0	0	0	0	5	3	3
KLHL14	2	2	0	0	0	4	3	3
MTMR1	3	1	0	0	0	4	3	3
NFKBIE	3	0	0	1	0	4	3	3
NOX4	4	0	0	0	0	4	3	3
PTPN6	3	1	0	0	0	4	3	3
VCAN	4	0	0	0	0	4	3	3
ADCY2	3	0	0	0	0	3	3	3
AMOT	3	0	0	0	0	3	3	3
AMOTL1	3	0	0	0	0	3	3	3
ARHGAP21	2	1	0	0	0	3	3	3
ASPM	3	0	0	0	0	3	3	3
ASXL3	3	0	0	0	0	3	3	3
BCL11B	3	0	0	0	0	3	3	3
CCDC88B	3	0	0	0	0	3	3	3
CDH20	3	0	0	0	0	3	3	3
CHRM3	3	0	0	0	0	3	3	3
CILP2	3	0	0	0	0	3	3	3
CNTNAP5	2	1	0	0	0	3	3	3
CNTRL	3	0	0	0	0	3	3	3
COL11A1	3	0	0	0	0	3	3	3
DDX3X	1	1	0	1	0	3	3	3
DGAT2L6	3	0	0	0	0	3	3	3
DLGAP3	3	0	0	0	0	3	3	3
ERBB4	3	0	0	0	0	3	3	3
FAS	1	0	0	2	0	3	3	3
FLG	3	0	0	0	0	3	3	3
FLG2	3	0	0	0	0	3	3	3
FLNC	2	0	0	1	0	3	3	3
GP2	3	0	0	0	0	3	3	3
HIST1H1B	3	0	0	0	0	3	3	3
HIST2H2BE	3	0	0	0	0	3	3	3
HMCN1	3	0	0	0	0	3	3	3
IGHG3	3	0	0	0	0	3	3	3
IGLV4-3	3	0	0	0	0	3	3	3
IRF8	3	0	0	0	0	3	3	3
KDR	2	1	0	0	0	3	3	3
KIF13A	2	1	0	0	0	3	3	3
LAMA3	3	0	0	0	0	3	3	3
LRRN3	3	0	0	0	0	3	3	3
MAGEL2	2	1	0	0	0	3	3	3
MAGI2	3	0	0	0	0	3	3	3
MPP7	3	0	0	0	0	3	3	3
MUC5B	3	0	0	0	0	3	3	3
NEB	3	0	0	0	0	3	3	3
NFKB2	3	0	0	0	0	3	3	3
PARD3	2	1	0	0	0	3	3	3
PIWIL1	3	0	0	0	0	3	3	3
PLCB1	2	1	0	0	0	3	3	3
PLCE1	3	0	0	0	0	3	3	3
PLXNB3	3	0	0	0	0	3	3	3
PPP1R36	3	0	0	0	0	3	3	3
PRDM15	3	0	0	0	0	3	3	3
PRDM9	3	0	0	0	0	3	3	3
ROBO1	3	0	0	0	0	3	3	3
SEMA3C	3	0	0	0	0	3	3	3
SHANK1	3	0	0	0	0	3	3	3
SHANK2	2	0	0	1	0	3	3	3
SLC45A1	3	0	0	0	0	3	3	3
SMEK1	1	0	0	2	0	3	3	3
SPHKAP	3	0	0	0	0	3	3	3
SYNE1	3	0	0	0	0	3	3	3
TBL1XR1	3	0	0	0	0	3	3	3
TDRD6	2	0	0	1	0	3	3	3
TENM4	3	0	0	0	0	3	3	3
TPO	3	0	0	0	0	3	3	3
TRPM3	3	0	0	0	0	3	3	3
UBE2A	0	1	0	2	0	3	3	3
XIRP2	3	0	0	0	0	3	3	3
ZBTB40	2	1	0	0	0	3	3	3
ZNF208	3	0	0	0	0	3	3	3
IGLV2-14	7	0	0	0	0	7	2	2
MYC	6	0	0	0	0	6	2	2
IGHV3-33	5	0	0	0	0	5	2	2
IGLV6-57	5	0	0	0	0	5	2	2
BCL10	2	2	0	0	0	4	2	2
HIST1H1D	4	0	0	0	0	4	2	2
ATR	3	0	0	0	0	3	2	2
CHD5	3	0	0	0	0	3	2	2
CSNK2A1	1	2	0	0	0	3	2	2
DCHS1	3	0	0	0	0	3	2	2
DNAH9	3	0	0	0	0	3	2	2
GABRQ	3	0	0	0	0	3	2	2
GRHPR	3	0	0	0	0	3	2	2
IGHV3-72	3	0	0	0	0	3	2	2
IGLV3-10	3	0	0	0	0	3	2	2
IGLV3-19	3	0	0	0	0	3	2	2
INPP4B	2	0	0	1	0	3	2	2
KIRREL3	2	1	0	0	0	3	2	2
NOL9	3	0	0	0	0	3	2	2
OR5L1	3	0	0	0	0	3	2	2
PABPC1	1	0	0	2	0	3	2	2
STAT6	3	0	0	0	0	3	2	2
STRC	2	1	0	0	0	3	2	2
UNC80	3	0	0	0	0	3	2	2
USP24	3	0	0	0	0	3	2	2
ZMYM4	3	0	0	0	0	3	2	2
ZNF217	3	0	0	0	0	3	2	2
ABCB5	2	0	0	0	0	2	2	2
ABCC1	1	0	0	1	0	2	2	2
ABCD4	2	0	0	0	0	2	2	2
ADARB2	2	0	0	0	0	2	2	2
ADGRA3	2	0	0	0	0	2	2	2
ADGRG1	2	0	0	0	0	2	2	2
ADGRL2	2	0	0	0	0	2	2	2
ADGRV1	2	0	0	0	0	2	2	2
AFF2	2	0	0	0	0	2	2	2
AGA	1	0	0	1	0	2	2	2
AGBL1	2	0	0	0	0	2	2	2
AHCYL2	2	0	0	0	0	2	2	2
AIM1	2	0	0	0	0	2	2	2
AKAP4	2	0	0	0	0	2	2	2
AMBRA1	2	0	0	0	0	2	2	2
ANKHD1-EIF4EBP3	1	1	0	0	0	2	2	2
ANKRD11	2	0	0	0	0	2	2	2
ANO5	2	0	0	0	0	2	2	2
ARC	2	0	0	0	0	2	2	2
ARFGEF3	2	0	0	0	0	2	2	2
ARHGAP28	2	0	0	0	0	2	2	2
ARHGEF2	2	0	0	0	0	2	2	2
ARID1A	1	1	0	0	0	2	2	2
ARID5B	1	1	0	0	0	2	2	2
ATG4C	2	0	0	0	0	2	2	2
AURKB	2	0	0	0	0	2	2	2
AVIL	1	1	0	0	0	2	2	2
BCL7A	2	0	0	0	0	2	2	2
BCL9L	2	0	0	0	0	2	2	2
BMP2	2	0	0	0	0	2	2	2
BRCA1	2	0	0	0	0	2	2	2
C1S	2	0	0	0	0	2	2	2
C5orf42	2	0	0	0	0	2	2	2
C8orf48	2	0	0	0	0	2	2	2
CACNA1H	2	0	0	0	0	2	2	2
CAPN7	1	1	0	0	0	2	2	2
CCSER1	1	1	0	0	0	2	2	2
CD163L1	2	0	0	0	0	2	2	2
CD58	0	0	0	0	2	2	2	2
CD79A	1	1	0	0	0	2	2	2
CDH11	2	0	0	0	0	2	2	2
CDH26	2	0	0	0	0	2	2	2
CDH4	2	0	0	0	0	2	2	2
CEP104	1	1	0	0	0	2	2	2
CEP126	2	0	0	0	0	2	2	2
CEP85	2	0	0	0	0	2	2	2
CHD3	2	0	0	0	0	2	2	2
CHD4	1	1	0	0	0	2	2	2
CIITA	2	0	0	0	0	2	2	2
CNGB3	2	0	0	0	0	2	2	2
CNOT3	2	0	0	0	0	2	2	2
CNTN1	2	0	0	0	0	2	2	2
CNTNAP4	2	0	0	0	0	2	2	2
COL3A1	2	0	0	0	0	2	2	2
COL5A2	2	0	0	0	0	2	2	2
COL6A5	2	0	0	0	0	2	2	2
COL8A1	2	0	0	0	0	2	2	2
CPAMD8	1	1	0	0	0	2	2	2
CPXCR1	2	0	0	0	0	2	2	2
CSK	1	0	0	0	1	2	2	2
CSMD1	2	0	0	0	0	2	2	2
CSMD3	1	1	0	0	0	2	2	2
CTD-3074O7.11	2	0	0	0	0	2	2	2
CTNND2	2	0	0	0	0	2	2	2
CTTNBP2	2	0	0	0	0	2	2	2
CXCR4	2	0	0	0	0	2	2	2
DACH2	2	0	0	0	0	2	2	2
DCAF8	2	0	0	0	0	2	2	2
DCHS2	2	0	0	0	0	2	2	2
DGCR8	1	1	0	0	0	2	2	2
DGKK	2	0	0	0	0	2	2	2
DMBT1	2	0	0	0	0	2	2	2
DNAH11	2	0	0	0	0	2	2	2
DNAH17	2	0	0	0	0	2	2	2
DNAH6	2	0	0	0	0	2	2	2
DNHD1	2	0	0	0	0	2	2	2
DOCK1	2	0	0	0	0	2	2	2
DPYD	2	0	0	0	0	2	2	2
DSC3	2	0	0	0	0	2	2	2
DSCAM	2	0	0	0	0	2	2	2
DSEL	1	1	0	0	0	2	2	2
DSG1	2	0	0	0	0	2	2	2
DST	2	0	0	0	0	2	2	2
DTX3L	2	0	0	0	0	2	2	2
DUSP2	2	0	0	0	0	2	2	2
DYNC2H1	2	0	0	0	0	2	2	2
DYSF	2	0	0	0	0	2	2	2
ELAVL1	2	0	0	0	0	2	2	2
ENOX1	2	0	0	0	0	2	2	2
EPHA3	2	0	0	0	0	2	2	2
EPHA5	2	0	0	0	0	2	2	2
EPHA6	2	0	0	0	0	2	2	2
ERBB2IP	1	1	0	0	0	2	2	2
ERCC5	2	0	0	0	0	2	2	2
ESRRG	2	0	0	0	0	2	2	2
EXOC7	2	0	0	0	0	2	2	2
EYS	2	0	0	0	0	2	2	2
FAM120A	2	0	0	0	0	2	2	2
FAM13C	2	0	0	0	0	2	2	2
FAM179B	2	0	0	0	0	2	2	2
FANCD2	1	1	0	0	0	2	2	2
FKBP9	2	0	0	0	0	2	2	2
FLT1	2	0	0	0	0	2	2	2
FMN2	1	1	0	0	0	2	2	2
FOXC1	1	1	0	0	0	2	2	2
FRMPD1	2	0	0	0	0	2	2	2
FSCB	2	0	0	0	0	2	2	2
GABRA1	2	0	0	0	0	2	2	2
GOLGA4	2	0	0	0	0	2	2	2
GPHN	2	0	0	0	0	2	2	2
GPR101	2	0	0	0	0	2	2	2
GRID1	1	1	0	0	0	2	2	2
GRID2	2	0	0	0	0	2	2	2
HELZ	1	1	0	0	0	2	2	2
HERC1	2	0	0	0	0	2	2	2
HIST1H2AE	2	0	0	0	0	2	2	2
HIST1H2AK	1	1	0	0	0	2	2	2
HIST1H2AM	2	0	0	0	0	2	2	2
HIST1H2BL	2	0	0	0	0	2	2	2
HIST1H4H	2	0	0	0	0	2	2	2
HKDC1	2	0	0	0	0	2	2	2
HLA-B	0	1	0	1	0	2	2	2
HMHA1	2	0	0	0	0	2	2	2
HNF4G	2	0	0	0	0	2	2	2
HOXC13	2	0	0	0	0	2	2	2
HPSE2	2	0	0	0	0	2	2	2
HTT	2	0	0	0	0	2	2	2
ID3	1	1	0	0	0	2	2	2
IGLV3-16	2	0	0	0	0	2	2	2
IKBKB	1	0	0	1	0	2	2	2
IKZF3	2	0	0	0	0	2	2	2
IMPG1	2	0	0	0	0	2	2	2
INTS3	2	0	0	0	0	2	2	2
ITGA10	2	0	0	0	0	2	2	2
ITPR1	1	1	0	0	0	2	2	2
JMJD1C	2	0	0	0	0	2	2	2
KALRN	2	0	0	0	0	2	2	2
KANK4	2	0	0	0	0	2	2	2
KCNT1	2	0	0	0	0	2	2	2
KCTD20	1	1	0	0	0	2	2	2
KIAA1024	2	0	0	0	0	2	2	2
KIAA1671	2	0	0	0	0	2	2	2
KMT2A	2	0	0	0	0	2	2	2
KRAS	2	0	0	0	0	2	2	2
KRT12	2	0	0	0	0	2	2	2
LAMA5	2	0	0	0	0	2	2	2
LAMB1	2	0	0	0	0	2	2	2
LIMD1	2	0	0	0	0	2	2	2
LRFN5	2	0	0	0	0	2	2	2
LRP2	2	0	0	0	0	2	2	2
LRRTM1	1	1	0	0	0	2	2	2
LRRTM4	2	0	0	0	0	2	2	2
LTB	2	0	0	0	0	2	2	2
LYN	2	0	0	0	0	2	2	2
LYST	2	0	0	0	0	2	2	2
MAGI1	2	0	0	0	0	2	2	2
MAP1B	2	0	0	0	0	2	2	2
MAP1S	2	0	0	0	0	2	2	2
MAP2K3	2	0	0	0	0	2	2	2
MAST1	2	0	0	0	0	2	2	2
MAST4	2	0	0	0	0	2	2	2
MDGA2	2	0	0	0	0	2	2	2
MDN1	2	0	0	0	0	2	2	2
MED12	2	0	0	0	0	2	2	2
MLXIP	2	0	0	0	0	2	2	2
MME	2	0	0	0	0	2	2	2
MMRN1	2	0	0	0	0	2	2	2
MSLN	2	0	0	0	0	2	2	2
MSN	1	1	0	0	0	2	2	2
MUC15	2	0	0	0	0	2	2	2
MUC6	2	0	0	0	0	2	2	2
MUSK	2	0	0	0	0	2	2	2
MYH1	2	0	0	0	0	2	2	2
MYH14	2	0	0	0	0	2	2	2
MYH2	1	1	0	0	0	2	2	2
MYH8	2	0	0	0	0	2	2	2
MYO18B	2	0	0	0	0	2	2	2
MYO9A	2	0	0	0	0	2	2	2
NAP1L3	2	0	0	0	0	2	2	2
NAV3	2	0	0	0	0	2	2	2
NBEA	2	0	0	0	0	2	2	2
NCAM2	2	0	0	0	0	2	2	2
NDUFS1	2	0	0	0	0	2	2	2
NEK1	2	0	0	0	0	2	2	2
NINL	2	0	0	0	0	2	2	2
NLRP5	2	0	0	0	0	2	2	2
NLRP9	2	0	0	0	0	2	2	2
NPAT	1	1	0	0	0	2	2	2
NR0B1	2	0	0	0	0	2	2	2
NRXN3	2	0	0	0	0	2	2	2
NUP153	1	0	0	1	0	2	2	2
NXF1	2	0	0	0	0	2	2	2
OBSCN	2	0	0	0	0	2	2	2
OR2L2	1	1	0	0	0	2	2	2
OR51I2	2	0	0	0	0	2	2	2
OR52R1	2	0	0	0	0	2	2	2
OR5M10	2	0	0	0	0	2	2	2
OR6B3	2	0	0	0	0	2	2	2
PAX5	1	0	0	1	0	2	2	2
PCDH1	2	0	0	0	0	2	2	2
PCDH11X	2	0	0	0	0	2	2	2
PCDH17	2	0	0	0	0	2	2	2
PCDHA10	2	0	0	0	0	2	2	2
PCDHA5	2	0	0	0	0	2	2	2
PCSK5	2	0	0	0	0	2	2	2
PDGFC	2	0	0	0	0	2	2	2
PGBD4	2	0	0	0	0	2	2	2
PGR	2	0	0	0	0	2	2	2
PHOX2B	2	0	0	0	0	2	2	2
PKHD1L1	2	0	0	0	0	2	2	2
PLEKHM3	2	0	0	0	0	2	2	2
POMT2	2	0	0	0	0	2	2	2
POU2F2	1	1	0	0	0	2	2	2
PPP1R3A	1	1	0	0	0	2	2	2
PPP2R2B	1	0	0	1	0	2	2	2
PRAMEF20	2	0	0	0	0	2	2	2
PRDM1	1	1	0	0	0	2	2	2
PRICKLE2	1	1	0	0	0	2	2	2
PRMT9	2	0	0	0	0	2	2	2
PROX1	2	0	0	0	0	2	2	2
PRRC2B	2	0	0	0	0	2	2	2
PSEN1	1	0	0	0	1	2	2	2
PTPRZ1	2	0	0	0	0	2	2	2
PXDNL	2	0	0	0	0	2	2	2
RAF1	2	0	0	0	0	2	2	2
RBMXL3	2	0	0	0	0	2	2	2
REV3L	1	0	0	1	0	2	2	2
RGL3	2	0	0	0	0	2	2	2
RHOA	2	0	0	0	0	2	2	2
RIMBP2	2	0	0	0	0	2	2	2
RIMS2	2	0	0	0	0	2	2	2
RNF133	2	0	0	0	0	2	2	2
ROS1	2	0	0	0	0	2	2	2
RP1	2	0	0	0	0	2	2	2
RPL13	2	0	0	0	0	2	2	2
RPTN	2	0	0	0	0	2	2	2
SCN7A	2	0	0	0	0	2	2	2
SCN9A	2	0	0	0	0	2	2	2
SDPR	2	0	0	0	0	2	2	2
SEL1L3	2	0	0	0	0	2	2	2
SEMA5A	2	0	0	0	0	2	2	2
SERPINH1	2	0	0	0	0	2	2	2
SGIP1	2	0	0	0	0	2	2	2
SGK1	2	0	0	0	0	2	2	2
SH3BP4	2	0	0	0	0	2	2	2
SI	2	0	0	0	0	2	2	2
SIN3A	2	0	0	0	0	2	2	2
SLC22A23	2	0	0	0	0	2	2	2
SLC25A37	2	0	0	0	0	2	2	2
SLC7A2	2	0	0	0	0	2	2	2
SLITRK1	2	0	0	0	0	2	2	2
SLITRK2	2	0	0	0	0	2	2	2
SON	2	0	0	0	0	2	2	2
SORL1	2	0	0	0	0	2	2	2
SPAG5	2	0	0	0	0	2	2	2
SPEN	0	2	0	0	0	2	2	2
SPTBN4	2	0	0	0	0	2	2	2
SSR1	2	0	0	0	0	2	2	2
ST7L	1	0	0	1	0	2	2	2
STAC	2	0	0	0	0	2	2	2
STAP2	2	0	0	0	0	2	2	2
SWAP70	2	0	0	0	0	2	2	2
SYNE2	2	0	0	0	0	2	2	2
TACC2	2	0	0	0	0	2	2	2
TAS2R16	2	0	0	0	0	2	2	2
TET2	1	1	0	0	0	2	2	2
TGFBR3	2	0	0	0	0	2	2	2
THSD7A	2	0	0	0	0	2	2	2
TIAM1	2	0	0	0	0	2	2	2
TLN1	2	0	0	0	0	2	2	2
TLN2	2	0	0	0	0	2	2	2
TLR4	2	0	0	0	0	2	2	2
TMEM135	1	1	0	0	0	2	2	2
TMEM201	2	0	0	0	0	2	2	2
TMEM30A	1	1	0	0	0	2	2	2
TNFRSF14	1	0	0	0	1	2	2	2
TNN	2	0	0	0	0	2	2	2
TNPO1	1	1	0	0	0	2	2	2
TPR	2	0	0	0	0	2	2	2
TRANK1	2	0	0	0	0	2	2	2
TRIM77	2	0	0	0	0	2	2	2
TRPM6	2	0	0	0	0	2	2	2
TSPAN31	2	0	0	0	0	2	2	2
TSSC1	2	0	0	0	0	2	2	2
UACA	2	0	0	0	0	2	2	2
UBA6	2	0	0	0	0	2	2	2
UBQLN2	2	0	0	0	0	2	2	2
UBR5	0	2	0	0	0	2	2	2
UGT2B7	1	1	0	0	0	2	2	2
UNC13C	2	0	0	0	0	2	2	2
UNC5B	1	1	0	0	0	2	2	2
USP9X	2	0	0	0	0	2	2	2
WDR72	1	0	0	0	1	2	2	2
ZAN	2	0	0	0	0	2	2	2
ZBTB20	2	0	0	0	0	2	2	2
ZC3H12A	1	1	0	0	0	2	2	2
ZC3H7A	2	0	0	0	0	2	2	2
ZCCHC8	2	0	0	0	0	2	2	2
ZNF454	2	0	0	0	0	2	2	2
ZNF492	2	0	0	0	0	2	2	2
ZNF503	2	0	0	0	0	2	2	2
ZNF608	2	0	0	0	0	2	2	2
ZNF708	1	1	0	0	0	2	2	2
ZNF804B	2	0	0	0	0	2	2	2
ZP4	1	0	0	1	0	2	2	2
SLC30A4	4	1	0	0	0	5	1	1
CARS2	2	0	0	1	0	3	1	1
IGHE	3	0	0	0	0	3	1	1
IGLV3-9	3	0	0	0	0	3	1	1
ADCYAP1R1	2	0	0	0	0	2	1	1
ADRM1	2	0	0	0	0	2	1	1
ARMT1	0	2	0	0	0	2	1	1
BCL2	2	0	0	0	0	2	1	1
CD274	1	1	0	0	0	2	1	1
CFAP47	2	0	0	0	0	2	1	1
CFAP54	2	0	0	0	0	2	1	1
CS	2	0	0	0	0	2	1	1
CSRP2BP	2	0	0	0	0	2	1	1
DGKB	2	0	0	0	0	2	1	1
EP300	2	0	0	0	0	2	1	1
ETV6	1	0	0	1	0	2	1	1
EVC	1	0	0	1	0	2	1	1
GBP3	2	0	0	0	0	2	1	1
GNA13	2	0	0	0	0	2	1	1
GPR82	2	0	0	0	0	2	1	1
GTF2H5	1	1	0	0	0	2	1	1
HDAC2	2	0	0	0	0	2	1	1
HLA-DPA1	2	0	0	0	0	2	1	1
IGHD3-9	0	1	0	0	1	2	1	1
IGHV1-24	2	0	0	0	0	2	1	1
IGHV3-23	2	0	0	0	0	2	1	1
IGHV3-74	2	0	0	0	0	2	1	1
IGKV1D-43	2	0	0	0	0	2	1	1
IGKV2-30	2	0	0	0	0	2	1	1
IGLV3-12	2	0	0	0	0	2	1	1
IL6	2	0	0	0	0	2	1	1
KLHL21	2	0	0	0	0	2	1	1
MROH2B	2	0	0	0	0	2	1	1
PLEC	2	0	0	0	0	2	1	1
PSAPL1	2	0	0	0	0	2	1	1
RYR2	2	0	0	0	0	2	1	1
S1PR2	2	0	0	0	0	2	1	1
SLC1A7	2	0	0	0	0	2	1	1
SPG11	2	0	0	0	0	2	1	1
SRSF7	2	0	0	0	0	2	1	1
TNFAIP3	1	1	0	0	0	2	1	1
VCPIP1	2	0	0	0	0	2	1	1
VMP1	2	0	0	0	0	2	1	1
XRCC5	2	0	0	0	0	2	1	1
ZNF521	2	0	0	0	0	2	1	1
ZNF547	2	0	0	0	0	2	1	1
ZNF841	2	0	0	0	0	2	1	1
A2M	1	0	0	0	0	1	1	1
AADACL3	1	0	0	0	0	1	1	1
AAGAB	1	0	0	0	0	1	1	1
AASS	1	0	0	0	0	1	1	1
AATF	1	0	0	0	0	1	1	1
ABCA1	1	0	0	0	0	1	1	1
ABCA10	1	0	0	0	0	1	1	1
ABCA13	1	0	0	0	0	1	1	1
ABCA3	1	0	0	0	0	1	1	1
ABCA4	1	0	0	0	0	1	1	1
ABCA7	1	0	0	0	0	1	1	1
ABCB8	1	0	0	0	0	1	1	1
ABCC3	1	0	0	0	0	1	1	1
ABCF1	1	0	0	0	0	1	1	1
ABCG4	0	1	0	0	0	1	1	1
ABHD12B	1	0	0	0	0	1	1	1
ABHD17B	1	0	0	0	0	1	1	1
ABHD2	1	0	0	0	0	1	1	1
ABI1	1	0	0	0	0	1	1	1
ABLIM1	0	1	0	0	0	1	1	1
ABLIM2	1	0	0	0	0	1	1	1
ABLIM3	1	0	0	0	0	1	1	1
ABT1	1	0	0	0	0	1	1	1
ACACA	1	0	0	0	0	1	1	1
ACACB	1	0	0	0	0	1	1	1
ACADM	1	0	0	0	0	1	1	1
ACE2	1	0	0	0	0	1	1	1
ACOX1	1	0	0	0	0	1	1	1
ACOX2	1	0	0	0	0	1	1	1
ACSBG1	1	0	0	0	0	1	1	1
ACSL3	1	0	0	0	0	1	1	1
ACSS3	1	0	0	0	0	1	1	1
ADAM21	1	0	0	0	0	1	1	1
ADAMTS1	1	0	0	0	0	1	1	1
ADAMTS18	1	0	0	0	0	1	1	1
ADAMTS20	1	0	0	0	0	1	1	1
ADAMTS5	1	0	0	0	0	1	1	1
ADAMTS7	1	0	0	0	0	1	1	1
ADAMTS9	1	0	0	0	0	1	1	1
ADAMTSL5	1	0	0	0	0	1	1	1
ADAT1	1	0	0	0	0	1	1	1
ADCK1	0	1	0	0	0	1	1	1
ADCY3	1	0	0	0	0	1	1	1
ADGRF3	1	0	0	0	0	1	1	1
ADGRF5	1	0	0	0	0	1	1	1
ADGRL1	1	0	0	0	0	1	1	1
ADO	0	1	0	0	0	1	1	1
ADORA1	1	0	0	0	0	1	1	1
AGAP6	1	0	0	0	0	1	1	1
AGBL3	1	0	0	0	0	1	1	1
AGBL4	1	0	0	0	0	1	1	1
AGFG1	1	0	0	0	0	1	1	1
AGL	1	0	0	0	0	1	1	1
AGTR1	1	0	0	0	0	1	1	1
AGTR2	1	0	0	0	0	1	1	1
AHCYL1	1	0	0	0	0	1	1	1
AHNAK	1	0	0	0	0	1	1	1
AHNAK2	1	0	0	0	0	1	1	1
AIDA	1	0	0	0	0	1	1	1
AKAP17A	1	0	0	0	0	1	1	1
AKAP9	1	0	0	0	0	1	1	1
AKR1B15	1	0	0	0	0	1	1	1
AKR1C4	1	0	0	0	0	1	1	1
AKT2	1	0	0	0	0	1	1	1
AL022328.1	1	0	0	0	0	1	1	1
ALDH5A1	1	0	0	0	0	1	1	1
ALDH8A1	1	0	0	0	0	1	1	1
ALDOB	1	0	0	0	0	1	1	1
ALG10	1	0	0	0	0	1	1	1
ALLC	1	0	0	0	0	1	1	1
ALMS1	0	1	0	0	0	1	1	1
ALOXE3	1	0	0	0	0	1	1	1
ALPPL2	1	0	0	0	0	1	1	1
ALX1	1	0	0	0	0	1	1	1
ALX3	1	0	0	0	0	1	1	1
AMER1	1	0	0	0	0	1	1	1
AMN	1	0	0	0	0	1	1	1
AMN1	1	0	0	0	0	1	1	1
AMOTL2	1	0	0	0	0	1	1	1
AMPD2	1	0	0	0	0	1	1	1
AMPD3	1	0	0	0	0	1	1	1
AMY2B	1	0	0	0	0	1	1	1
ANK1	1	0	0	0	0	1	1	1
ANK2	1	0	0	0	0	1	1	1
ANK3	1	0	0	0	0	1	1	1
ANKFY1	1	0	0	0	0	1	1	1
ANKK1	1	0	0	0	0	1	1	1
ANKRD10	1	0	0	0	0	1	1	1
ANKRD17	0	1	0	0	0	1	1	1
ANKRD18A	1	0	0	0	0	1	1	1
ANKRD30A	1	0	0	0	0	1	1	1
ANKRD30B	1	0	0	0	0	1	1	1
ANKRD33	1	0	0	0	0	1	1	1
ANKRD44	1	0	0	0	0	1	1	1
ANKRD46	1	0	0	0	0	1	1	1
ANKRD50	1	0	0	0	0	1	1	1
ANKRD53	1	0	0	0	0	1	1	1
ANKS6	1	0	0	0	0	1	1	1
ANLN	1	0	0	0	0	1	1	1
ANO1	0	1	0	0	0	1	1	1
ANO4	1	0	0	0	0	1	1	1
ANO8	1	0	0	0	0	1	1	1
ANXA11	1	0	0	0	0	1	1	1
AP1M1	1	0	0	0	0	1	1	1
AP3M1	1	0	0	0	0	1	1	1
AP5Z1	1	0	0	0	0	1	1	1
APBA2	1	0	0	0	0	1	1	1
APBA3	1	0	0	0	0	1	1	1
APC	1	0	0	0	0	1	1	1
APMAP	0	0	0	1	0	1	1	1
APOA1	1	0	0	0	0	1	1	1
APOBEC3D	1	0	0	0	0	1	1	1
AR	1	0	0	0	0	1	1	1
ARAP3	1	0	0	0	0	1	1	1
ARHGAP11A	1	0	0	0	0	1	1	1
ARHGAP20	1	0	0	0	0	1	1	1
ARHGAP29	1	0	0	0	0	1	1	1
