Hugo_Symbol	Amp	Del	total	AlteredSamples
MZB1	0	18	18	18
NDFIP1	0	18	18	18
NDST1	0	18	18	18
NDUFA2	0	18	18	18
NEUROG1	0	18	18	18
NME5	0	18	18	18
NMUR2	0	18	18	18
NPY6R	0	18	18	18
NR3C1	0	18	18	18
NRG2	0	18	18	18
P4HA2	0	18	18	18
PAIP2	0	18	18	18
PCBD2	0	18	18	18
PCDH1	0	18	18	18
PCDH12	0	18	18	18
PCDHA1	0	18	18	18
PCDHA10	0	18	18	18
PCDHA11	0	18	18	18
PCDHA12	0	18	18	18
PCDHA13	0	18	18	18
PCDHA14	0	18	18	18
PCDHA2	0	18	18	18
PCDHA3	0	18	18	18
PCDHA4	0	18	18	18
PCDHA5	0	18	18	18
PCDHA6	0	18	18	18
PCDHA7	0	18	18	18
PCDHA8	0	18	18	18
PCDHA9	0	18	18	18
PCDHAC1	0	18	18	18
PCDHAC2	0	18	18	18
PCDHB1	0	18	18	18
PCDHB10	0	18	18	18
PCDHB11	0	18	18	18
PCDHB12	0	18	18	18
PCDHB13	0	18	18	18
PCDHB14	0	18	18	18
PCDHB15	0	18	18	18
PCDHB16	0	18	18	18
PCDHB17	0	18	18	18
PCDHB18	0	18	18	18
PCDHB2	0	18	18	18
PCDHB3	0	18	18	18
PCDHB4	0	18	18	18
PCDHB5	0	18	18	18
PCDHB6	0	18	18	18
PCDHB7	0	18	18	18
PCDHB8	0	18	18	18
PCDHGA1	0	18	18	18
PCDHGA10	0	18	18	18
PCDHGA11	0	18	18	18
PCDHGA12	0	18	18	18
PCDHGA2	0	18	18	18
PCDHGA3	0	18	18	18
PCDHGA4	0	18	18	18
PCDHGA5	0	18	18	18
PCDHGA6	0	18	18	18
PCDHGA7	0	18	18	18
PCDHGA8	0	18	18	18
PCDHGA9	0	18	18	18
PCDHGB1	0	18	18	18
PCDHGB2	0	18	18	18
PCDHGB3	0	18	18	18
PCDHGB4	0	18	18	18
PCDHGB6	0	18	18	18
PCDHGB7	0	18	18	18
PCDHGB8P	0	18	18	18
PCDHGC3	0	18	18	18
PCDHGC4	0	18	18	18
PCDHGC5	0	18	18	18
PCYOX1L	0	18	18	18
PDE6A	0	18	18	18
PDGFRB	0	18	18	18
PDLIM4	0	18	18	18
PFDN1	0	18	18	18
PGGT1B	0	18	18	18
PHAX	0	18	18	18
PHF15	0	18	18	18
PITX1	0	18	18	18
PKD1L2	0	18	18	9
PKD2L2	0	18	18	18
PLAC8L1	0	18	18	18
POU4F3	0	18	18	18
PPARGC1B	0	18	18	18
PPIC	0	18	18	18
PPP2CA	0	18	18	18
PPP2R2B	0	18	18	18
PRDM6	0	18	18	18
PRELID2	0	18	18	18
PROB1	0	18	18	18
PRR16	0	18	18	18
PRRC1	0	18	18	18
PSD2	0	18	18	18
PURA	0	18	18	18
RAD50	0	18	18	18
RAPGEF6	0	18	18	18
RBM22	0	18	18	18
RBM27	0	18	18	18
REEP2	0	18	18	18
RELL2	0	18	18	18
RN7SKP117	0	18	18	18
RN7SKP145	0	18	18	18
RN7SKP232	0	18	18	18
RN7SKP246	0	18	18	18
RN7SKP64	0	18	18	18
RN7SKP89	0	18	18	18
RN7SL174P	0	18	18	18
RN7SL177P	0	18	18	18
RN7SL439P	0	18	18	18
RN7SL541P	0	18	18	18
RN7SL655P	0	18	18	18
RN7SL682P	0	18	18	18
RN7SL689P	0	18	18	18
RN7SL68P	0	18	18	18
RN7SL711P	0	18	18	18
RN7SL791P	0	18	18	18
RN7SL867P	0	18	18	18
RN7SL868P	0	18	18	18
RN7SL87P	0	18	18	18
RNA5SP190	0	18	18	18
RNA5SP191	0	18	18	18
RNA5SP192	0	18	18	18
RNA5SP193	0	18	18	18
RNA5SP194	0	18	18	18
RNA5SP195	0	18	18	18
RNA5SP196	0	18	18	18
RNA5SP197	0	18	18	18
RNA5SP198	0	18	18	18
RNA5SP199	0	18	18	18
RNF14	0	18	18	18
RNU4ATAC13P	0	18	18	18
RNU6ATAC10P	0	18	18	18
RPS14	0	18	18	18
SAP30L	0	18	18	18
SAR1B	0	18	18	18
SCGB3A2	0	18	18	18
SEC24A	0	18	18	18
SEMA6A	0	18	18	18
SEPT8	0	18	18	18
SGCD	0	18	18	18
SH3RF2	0	18	18	18
SH3TC2	0	18	18	18
SHROOM1	0	18	18	18
SIL1	0	18	18	18
SKP1	0	18	18	18
SLC12A2	0	18	18	18
SLC22A4	0	18	18	18
SLC22A5	0	18	18	18
SLC23A1	0	18	18	18
SLC25A2	0	18	18	18
SLC25A48	0	18	18	18
SLC26A2	0	18	18	18
SLC27A6	0	18	18	18
SLC35A4	0	18	18	18
SLC36A1	0	18	18	18
SLC36A2	0	18	18	18
SLC36A3	0	18	18	18
SLC4A9	0	18	18	18
SLC6A7	0	18	18	18
SMAD5	0	18	18	18
SMIM3	0	18	18	18
SNCAIP	0	18	18	18
SNORA74A	0	18	18	18
SNX2	0	18	18	18
SNX24	0	18	18	18
SOWAHA	0	18	18	18
SPARC	0	18	18	18
SPATA24	0	18	18	18
SPINK1	0	18	18	18
SPINK13	0	18	18	18
SPINK14	0	18	18	18
SPINK5	0	18	18	18
SPINK6	0	18	18	18
SPINK7	0	18	18	18
SPINK9	0	18	18	18
SPOCK1	0	18	18	18
SPRY4	0	18	18	18
SRA1	0	18	18	18
SRFBP1	0	18	18	18
STK32A	0	18	18	18
SYNPO	0	18	18	18
TAF7	0	18	18	18
TCERG1	0	18	18	18
TCF7	0	18	18	18
TCOF1	0	18	18	18
TGFBI	0	18	18	18
TICAM2	0	18	18	18
TIFAB	0	18	18	18
TIGD6	0	18	18	18
TMCO6	0	18	18	18
TMED7	0	18	18	18
TMEM173	0	18	18	18
TNFAIP8	0	18	18	18
TNIP1	0	18	18	18
TRIM36	0	18	18	18
TRPC7	0	18	18	18
TSSK1B	0	18	18	18
TUBB3	0	18	18	9
TXNDC15	0	18	18	18
UBE2B	0	18	18	18
UBE2D2	0	18	18	18
UQCRQ	0	18	18	18
VDAC1	0	18	18	18
WDR55	0	18	18	18
WNT8A	0	18	18	18
YIPF5	0	18	18	18
YTHDC2	0	18	18	18
ZCCHC10	0	18	18	18
ZMAT2	0	18	18	18
ZNF300	0	18	18	18
ZNF300P1	0	18	18	18
ZNF474	0	18	18	18
ZNF608	0	18	18	18
KMT2A	17	0	17	17
GRB10	0	16	16	16
ABR	0	15	15	15
ACADVL	0	15	15	15
ACAP1	0	15	15	15
ACKR6	0	15	15	15
AIPL1	0	15	15	15
ALOX12	0	15	15	15
ALOX12P2	0	15	15	15
ALOX15	0	15	15	15
ANKFY1	0	15	15	15
ARRB2	0	15	15	15
ASGR1	0	15	15	15
ASGR2	0	15	15	15
ASPA	0	15	15	15
ATP1B2	0	15	15	15
ATP2A3	0	15	15	15
BCL6B	0	15	15	15
BHLHA9	0	15	15	15
C17orf100	0	15	15	15
C17orf107	0	15	15	15
C17orf49	0	15	15	15
C17orf74	0	15	15	15
C17orf85	0	15	15	15
C17orf97	0	15	15	15
C1QBP	0	15	15	15
CAMKK1	0	15	15	15
CAMTA2	0	15	15	15
CD68	0	15	15	15
CHRNB1	0	15	15	15
CHRNE	0	15	15	15
CLDN7	0	15	15	15
CLEC10A	0	15	15	15
CLUH	0	15	15	15
CRK	0	15	15	15
CTDNEP1	0	15	15	15
CTNS	0	15	15	15
CXCL16	0	15	15	15
CYB5D2	0	15	15	15
DBIL5P	0	15	15	15
DERL2	0	15	15	15
DHX33	0	15	15	15
DLG4	0	15	15	15
DNAH2	0	15	15	15
DOC2B	0	15	15	15
DPH1	0	15	15	15
DVL2	0	15	15	15
EFNB3	0	15	15	15
EIF4A1	0	15	15	15
EIF5A	0	15	15	15
ELP5	0	15	15	15
EMC6	0	15	15	15
ENO3	0	15	15	15
FAM101B	0	15	15	15
FAM57A	0	15	15	15
FAM64A	0	15	15	15
FBXO39	0	15	15	15
FGF11	0	15	15	15
FXR2	0	15	15	15
GABARAP	0	15	15	15
GEMIN4	0	15	15	15
GGT6	0	15	15	15
GLOD4	0	15	15	15
GLTPD2	0	15	15	15
GP1BA	0	15	15	15
GPS2	0	15	15	15
GSG2	0	15	15	15
HIC1	0	15	15	15
INCA1	0	15	15	15
INPP5K	0	15	15	15
ITGAE	0	15	15	15
KCTD11	0	15	15	15
KIAA0753	0	15	15	15
KIF1C	0	15	15	15
MED11	0	15	15	15
MED31	0	15	15	15
METTL16	0	15	15	15
MINK1	0	15	15	15
MIR1253	0	15	15	15
MIR132	0	15	15	15
MIR212	0	15	15	15
MIR22HG	0	15	15	15
MIR3183	0	15	15	15
MIR324	0	15	15	15
MIR4520B	0	15	15	15
MIR497HG	0	15	15	15
MIS12	0	15	15	15
MNT	0	15	15	15
MPDU1	0	15	15	15
MYBBP1A	0	15	15	15
MYO1C	0	15	15	15
NEURL4	0	15	15	15
NLGN2	0	15	15	15
NLRP1	0	15	15	15
NUP88	0	15	15	15
NXN	0	15	15	15
OR1A1	0	15	15	15
OR1A2	0	15	15	15
OR1D2	0	15	15	15
OR1D4	0	15	15	15
OR1D5	0	15	15	15
OR1E1	0	15	15	15
OR1E2	0	15	15	15
OR1G1	0	15	15	15
OR3A1	0	15	15	15
OR3A2	0	15	15	15
OR3A3	0	15	15	15
OR3A4P	0	15	15	15
OVCA2	0	15	15	15
P2RX1	0	15	15	15
P2RX5	0	15	15	15
PAFAH1B1	0	15	15	15
PELP1	0	15	15	15
PFN1	0	15	15	15
PHF23	0	15	15	15
PITPNA	0	15	15	15
PLD2	0	15	15	15
PLSCR3	0	15	15	15
POLR2A	0	15	15	15
PRPF8	0	15	15	15
PSMB6	0	15	15	15
RABEP1	0	15	15	15
RAP1GAP2	0	15	15	15
RILP	0	15	15	15
RN7SL105P	0	15	15	15
RN7SL171P	0	15	15	15
RN7SL33P	0	15	15	15
RN7SL605P	0	15	15	15
RN7SL608P	0	15	15	15
RN7SL624P	0	15	15	15
RN7SL774P	0	15	15	15
RN7SL784P	0	15	15	15
RNA5SP434	0	15	15	15
RNA5SP435	0	15	15	15
RNASEK	0	15	15	15
RNF167	0	15	15	15
RNMTL1	0	15	15	15
RPA1	0	15	15	15
RPAIN	0	15	15	15
RPH3AL	0	15	15	15
RPL29P2	0	15	15	15
RTN4RL1	0	15	15	15
SAT2	0	15	15	15
SCARF1	0	15	15	15
SCIMP	0	15	15	15
SENP3	0	15	15	15
SERPINF1	0	15	15	15
SERPINF2	0	15	15	15
SGSM2	0	15	15	15
SHBG	0	15	15	15
SLC13A5	0	15	15	15
SLC16A11	0	15	15	15
SLC16A13	0	15	15	15
SLC25A11	0	15	15	15
SLC2A4	0	15	15	15
SLC35G6	0	15	15	15
SLC43A2	0	15	15	15
SLC52A1	0	15	15	15
SMG6	0	15	15	15
SMTNL2	0	15	15	15
SMYD4	0	15	15	15
SNORD10	0	15	15	15
SNORD91A	0	15	15	15
SNORD91B	0	15	15	15
SOX15	0	15	15	15
SPAG7	0	15	15	15
SPATA22	0	15	15	15
SPEM1	0	15	15	15
SPNS2	0	15	15	15
SPNS3	0	15	15	15
SRR	0	15	15	15
TAX1BP3	0	15	15	15
TEKT1	0	15	15	15
TIMM22	0	15	15	15
TLCD2	0	15	15	15
TM4SF5	0	15	15	15
TMEM102	0	15	15	15
TMEM256	0	15	15	15
TMEM95	0	15	15	15
TNFSF12	0	15	15	15
TNFSF13	0	15	15	15
TNK1	0	15	15	15
TP53	0	15	15	15
TRPV1	0	15	15	15
TRPV3	0	15	15	15
TSR1	0	15	15	15
TUSC5	0	15	15	15
TXNDC17	0	15	15	15
UBE2G1	0	15	15	15
USP6	0	15	15	15
VMO1	0	15	15	15
VPS53	0	15	15	15
WDR81	0	15	15	15
WRAP53	0	15	15	15
WSCD1	0	15	15	15
XAF1	0	15	15	15
YBX2	0	15	15	15
YWHAE	0	15	15	15
ZBTB4	0	15	15	15
ZFP3	0	15	15	15
ZMYND15	0	15	15	15
ZNF232	0	15	15	15
ZNF594	0	15	15	15
ZZEF1	0	15	15	15
B3GALT5	14	0	14	14
BRWD1	14	0	14	14
C21orf88	14	0	14	14
DSCAM	14	0	14	14
DSCR10	14	0	14	14
DSCR8	14	0	14	14
ERG	14	0	14	14
ETS2	14	0	14	14
HMGN1	14	0	14	14
IGSF5	14	0	14	14
KCNJ15	14	0	14	14
LCA5L	14	0	14	14
LINC00114	14	0	14	14
MIR4760	14	0	14	14
PCP4	14	0	14	14
PSMG1	14	0	14	14
SH3BGR	14	0	14	14
WRB	14	0	14	14
ADAP2	0	13	13	13
ATAD5	0	13	13	13
CRLF3	0	13	13	13
EVI2A	0	13	13	13
EVI2B	0	13	13	13
LRRC37BP1	0	13	13	13
MIR4733	0	13	13	13
NF1	0	13	13	13
OMG	0	13	13	13
RN7SL138P	0	13	13	13
RN7SL316P	0	13	13	13
RNF135	0	13	13	13
SUZ12P	0	13	13	13
TEFM	0	13	13	13
APOLD1	0	10	10	10
BCL2L14	0	10	10	10
C12orf36	0	10	10	10
CDKN1B	0	10	10	10
CREBL2	0	10	10	10
DDX47	0	10	10	10
DUSP16	0	10	10	10
EMP1	0	10	10	10
ETV6	0	10	10	10
GALT	0	10	10	5
GPR19	0	10	10	10
GPRC5A	0	10	10	10
GPRC5D	0	10	10	10
GSG1	0	10	10	10
HEBP1	0	10	10	10
HTR7P1	0	10	10	10
KIAA1467	0	10	10	10
LCN6	0	10	10	5
LOH12CR1	0	10	10	10
LOH12CR2	0	10	10	10
LRP6	0	10	10	10
MANSC1	0	10	10	10
MIR613	0	10	10	10
MIR614	0	10	10	10
PRB1	0	10	10	10
PRB2	0	10	10	10
PRB3	0	10	10	10
PRB4	0	10	10	10
RNA5SP353	0	10	10	10
SNORD88	0	10	10	10
AARS	0	9	9	9
ACD	0	9	9	9
ACSF3	0	9	9	9
ADAD2	0	9	9	9
ADAMTS18	0	9	9	9
ADAT1	0	9	9	9
AFG3L1P	0	9	9	9
AFG3L2	0	9	9	9
AGRP	0	9	9	9
ANKRD11	0	9	9	9
AP1G1	0	9	9	9
APRT	0	9	9	9
ATMIN	0	9	9	9
ATP2C2	0	9	9	9
ATP6V0D1	0	9	9	9
ATXN1L	0	9	9	9
B3GNT9	0	9	9	9
BANP	0	9	9	9
BCAR1	0	9	9	9
BCMO1	0	9	9	9
C16orf3	0	9	9	9
C16orf46	0	9	9	9
C16orf47	0	9	9	9
C16orf70	0	9	9	9
C16orf74	0	9	9	9
C16orf86	0	9	9	9
C16orf95	0	9	9	9
CA5A	0	9	9	9
CA7	0	9	9	9
CALB2	0	9	9	9
CBFA2T3	0	9	9	9
CBFB	0	9	9	9
